Angle_deg,xs_mb_sr,Direct_mb_sr,Compound_mb_sr,xs_Rutherford,Nuc_interfer,beam_energy_MeV
102.0,43.14022,10.958,32.18222,0.236983,-138.8991,5.7
104.0,42.67081,10.4886,32.18222,0.239784,-135.2844,5.7
106.0,42.54021,10.358,32.18222,0.24983,-127.7364,5.7
108.0,42.69582,10.5136,32.18222,0.267027,-117.1974,5.7
110.0,43.09092,10.9087,32.18222,0.291209,-104.8816,5.7
112.0,43.68432,11.5021,32.18222,0.322141,-91.92189,5.7
114.0,44.43962,12.2574,32.18222,0.359531,-79.16479,5.7
116.0,45.32502,13.1428,32.18222,0.403036,-67.13396,5.7
118.0,46.31312,14.1309,32.18222,0.452279,-56.08632,5.7
120.0,47.38012,15.1979,32.18222,0.506849,-46.09963,5.7
122.0,48.50542,16.3232,32.18222,0.566314,-37.14569,5.7
124.0,49.67202,17.4898,32.18222,0.630228,-29.14393,5.7
126.0,50.86502,18.6828,32.18222,0.698135,-21.99341,5.7
128.0,52.07232,19.8901,32.18222,0.769575,-15.59142,5.7
130.0,53.28362,21.1014,32.18222,0.844088,-9.84205,5.7
132.0,54.49042,22.3082,32.18222,0.921212,-4.660373,5.7
134.0,55.68581,23.5036,32.18222,1.00049,0.02727,5.7
136.0,56.86402,24.6818,32.18222,1.08147,4.283717,5.7
138.0,58.02002,25.8378,32.18222,1.16369,8.161361,5.7
140.0,59.14982,26.9676,32.18222,1.24669,11.70433,5.7
142.0,60.24992,28.0677,32.18222,1.33003,14.95025,5.7
144.0,61.31721,29.135,32.18222,1.41323,17.92922,5.7
146.0,62.34882,30.1666,32.18222,1.49584,20.66734,5.7
148.0,63.34202,31.1598,32.18222,1.57738,23.18554,5.7
150.0,64.29431,32.1121,32.18222,1.65736,25.5011,5.7
152.0,65.20302,33.0208,32.18222,1.73531,27.62874,5.7
154.0,66.06541,33.8832,32.18222,1.81073,29.5799,5.7
156.0,66.87912,34.6969,32.18222,1.88313,31.36425,5.7
158.0,67.64111,35.4589,32.18222,1.95202,32.98926,5.7
160.0,68.34882,36.1666,32.18222,2.01691,34.46093,5.7
162.0,68.99942,36.8172,32.18222,2.07732,35.78382,5.7
164.0,69.59032,37.4081,32.18222,2.1328,36.9617,5.7
166.0,70.11882,37.9366,32.18222,2.1829,37.99696,5.7
168.0,70.58241,38.4002,32.18222,2.22723,38.89174,5.7
170.0,70.97902,38.7968,32.18222,2.26541,39.64737,5.7
172.0,71.30641,39.1242,32.18222,2.29711,40.26462,5.7
174.0,71.56302,39.3808,32.18222,2.32207,40.74439,5.7
176.0,71.74731,39.5651,32.18222,2.34006,41.08686,5.7
178.0,71.85822,39.676,32.18222,2.35092,41.29222,5.7
180.0,71.89532,39.7131,32.18222,2.35455,41.36068,5.7
0.0,2.81684e+29,2.81684e+29,32.33908,1.0,0.0,5.8
2.0,175381000.0,175381000.0,32.33908,0.998731,-222848.2,5.8
4.0,10993330.0,10993300.0,32.33908,1.00102,11201.56,5.8
6.0,2195042.0,2195010.0,32.33908,1.01083,23517.67,5.8
8.0,700428.3,700396.0,32.33908,1.01794,12344.24,5.8
10.0,286801.3,286769.0,32.33908,1.01567,4424.824,5.8
12.0,136865.3,136833.0,32.33908,1.00269,367.1749,5.8
14.0,72483.44,72451.1,32.33908,0.98098,-1405.366,5.8
16.0,41461.64,41429.3,32.33908,0.95404,-1997.379,5.8
18.0,25214.64,25182.3,32.33908,0.925682,-2024.347,5.8
20.0,16146.54,16114.2,32.33908,0.899348,-1807.067,5.8
22.0,10820.54,10788.2,32.33908,0.877775,-1506.696,5.8
24.0,7555.389,7523.05,32.33908,0.862873,-1200.696,5.8
26.0,5476.729,5444.39,32.33908,0.855733,-923.3156,5.8
28.0,4107.029,4074.69,32.33908,0.856706,-686.9482,5.8
30.0,3174.679,3142.34,32.33908,0.865516,-493.2821,5.8
32.0,2519.899,2487.56,32.33908,0.881381,-339.1359,5.8
34.0,2045.969,2013.63,32.33908,0.903147,-219.4087,5.8
36.0,1692.839,1660.5,32.33908,0.929405,-128.5833,5.8
38.0,1422.389,1390.05,32.33908,0.958592,-61.44249,5.8
